Subject,Control,Complexity,Trial,Perweek,Lifetime,Expertise,Lives,Treasure,Input,Score,Difficulty,RR_Mean,RR_Zscore,MDP_r,N_observations,Include_Input,Include_Score,Include_Difficulty,Include_RR,Include_MDP_r,Include_N_obs
Sub24,sharedergodic,low,trial3,0,2000,expert,8.0,3.0,9.0,27.0,8.0,735.274809160305,0.351287811362432,3.0,79.0,True,True,True,True,False,True
Sub24,autoergodic,low,trial4,0,2000,expert,7.0,3.0,0.0,24.0,8.0,669.763341067285,-1.36534941954914,0.0,77.0,True,True,True,True,False,True
Sub24,none,high,trial5,0,2000,expert,8.0,3.0,0.0,27.0,8.0,690.219570405728,-0.829322279437201,0.0,nan,True,True,True,True,False,True
Sub24,waypoint,high,trial6,0,2000,expert,7.0,3.0,13.0,24.0,7.0,746.059585492228,0.633887928828044,3.0,22.0,True,True,True,True,False,True
Sub24,directergodic,high,trial7,0,2000,expert,8.0,3.0,17.0,27.0,9.0,720.31421446384,-0.040733839199028,3.0,37.0,True,True,True,True,False,True
Sub24,sharedergodic,high,trial8,0,2000,expert,8.0,4.0,13.0,28.0,8.0,711.817283950617,-0.26338412764557,6.0,65.0,True,True,True,True,False,True
Sub24,autoergodic,high,trial9,0,2000,expert,8.0,3.0,0.0,27.0,8.0,785.422343324251,1.66533444609829,nan,56.0,True,True,True,True,False,True
Sub25,none,low,trial0,0,1500,expert,8.0,3.0,0.0,27.0,9.0,917.773885350318,1.56429523001086,0.0,nan,True,True,True,True,True,True
Sub25,waypoint,low,trial1,0,1500,expert,8.0,1.0,13.0,25.0,8.0,860.035820895522,-0.218199978306106,0.0,28.0,True,True,True,True,True,True
Sub25,directergodic,low,trial2,0,1500,expert,6.0,3.0,17.0,21.0,9.0,868.852409638554,0.053986617080365,6.0,57.0,True,True,True,True,True,True
Sub25,sharedergodic,low,trial3,0,1500,expert,8.0,3.0,12.0,27.0,9.0,835.742774566474,-0.968177295451073,0.0,55.0,True,True,True,True,True,True
Sub25,autoergodic,low,trial4,0,1500,expert,7.0,3.0,0.0,24.0,10.0,869.394578313253,0.070724501764855,9.0,84.0,True,True,True,True,True,True
Sub25,none,high,trial5,0,1500,expert,8.0,2.0,0.0,26.0,10.0,888.615384615385,0.664111125598804,0.0,nan,True,True,True,True,True,True
Sub25,waypoint,high,trial6,0,1500,expert,8.0,4.0,15.0,28.0,8.0,831.887608069164,-1.08719437497404,3.0,34.0,True,True,True,True,True,True
Sub25,directergodic,high,trial7,0,1500,expert,7.0,3.0,15.0,24.0,8.0,915.663492063492,1.49914296075914,9.0,47.0,True,True,True,True,True,True
Sub25,sharedergodic,high,trial8,0,1500,expert,8.0,3.0,10.0,27.0,9.0,814.016901408451,-1.63890058980393,0.0,68.0,True,True,True,True,True,True
Sub25,autoergodic,high,trial9,0,1500,expert,7.0,3.0,0.0,24.0,10.0,869.054054054054,0.060211803321128,3.0,74.0,True,True,True,True,True,True
Sub26,none,low,trial0,0,2028,expert,7.0,2.0,0.0,23.0,10.0,987.178082191781,-0.633357647268851,0.0,nan,True,True,True,True,True,True
Sub26,waypoint,low,trial1,0,2028,expert,8.0,3.0,23.0,27.0,10.0,1003.30555555556,-0.149261408072667,0.0,29.0,True,True,True,True,True,True
Sub26,directergodic,low,trial2,0,2028,expert,6.0,2.0,28.0,20.0,9.0,987.212328767123,-0.632329672337213,0.0,57.0,True,True,True,True,True,True
Sub26,sharedergodic,low,trial3,0,2028,expert,8.0,4.0,24.0,28.0,9.0,1045.14492753623,1.10662549803567,4.5,64.0,True,True,True,True,True,True
Sub26,autoergodic,low,trial4,0,2028,expert,7.0,1.0,0.0,22.0,9.0,993.254295532646,-0.450968753452809,0.0,66.0,True,True,True,True,True,True
Sub26,none,high,trial5,0,2028,expert,7.0,2.0,0.0,23.0,10.0,1024.58865248227,0.489590503089852,9.0,nan,True,True,True,True,True,True
Sub26,waypoint,high,trial6,0,2028,expert,8.0,0.0,19.0,24.0,8.0,934.161290322581,-2.22475569079472,0.0,24.0,True,True,True,True,True,True
Sub26,directergodic,high,trial7,0,2028,expert,8.0,4.0,24.0,28.0,10.0,1035.31541218638,0.811574233237254,3.0,56.0,True,True,True,True,True,True
Sub26,sharedergodic,high,trial8,0,2028,expert,7.0,3.0,18.0,24.0,10.0,1052.71272727273,1.3337871438057,0.0,69.0,True,True,True,True,True,True
