Subject,Control,Complexity,Trial,Skill,Perweek,Lifetime,Expertise,Alllow,Allhigh,RR
Sub36,sharedergodic,low,trial3,0,10,7800,expert,1,1,860.4925373134329
Sub36,autoergodic,low,trial4,0,10,7800,expert,1,1,902.221875
Sub36,none,high,trial5,0,10,7800,expert,1,1,861.7172619047618
Sub36,waypoint,high,trial6,0,10,7800,expert,1,1,865.1676646706587
Sub36,directergodic,high,trial7,0,10,7800,expert,1,1,868.8348348348349
Sub36,sharedergodic,high,trial8,0,10,7800,expert,1,1,896.9751552795032
Sub36,autoergodic,high,trial9,0,10,7800,expert,1,1,890.3919753086419
Sub37,none,low,trial0,0,5,3900,expert,1,1,829.3925501432665
Sub37,waypoint,low,trial1,0,5,3900,expert,1,1,716.4764267990074
Sub37,directergodic,low,trial2,0,5,3900,expert,1,1,774.461126005362
Sub37,sharedergodic,low,trial3,0,5,3900,expert,1,1,762.4788359788361
Sub37,autoergodic,low,trial4,0,5,3900,expert,1,1,744.569587628866
Sub37,none,high,trial5,0,5,3900,expert,1,1,766.684350132626
Sub37,waypoint,high,trial6,0,5,3900,expert,1,1,714.6064356435643
Sub37,directergodic,high,trial7,0,5,3900,expert,1,1,804.4289693593315
Sub37,sharedergodic,high,trial8,0,5,3900,expert,1,1,776.497311827957
Sub37,autoergodic,high,trial9,0,5,3900,expert,1,1,740.6923076923077
Sub39,none,low,trial0,0,0,580,novice,1,1,826.704871060172
Sub39,waypoint,low,trial1,0,0,580,novice,1,1,826.4827586206897
Sub39,directergodic,low,trial2,0,0,580,novice,1,1,855.8724035608309
Sub39,sharedergodic,low,trial3,0,0,580,novice,1,1,843.1020408163264
Sub39,autoergodic,low,trial4,0,0,580,novice,1,1,823.6438746438747
Sub39,none,high,trial5,0,0,580,novice,1,1,827.541547277937
Sub39,waypoint,high,trial6,0,0,580,novice,1,1,816.1299435028249
Sub39,directergodic,high,trial7,0,0,580,novice,1,1,870.2620481927712
Sub39,sharedergodic,high,trial8,0,0,580,novice,1,1,807.1703910614525
Sub39,autoergodic,high,trial9,0,0,580,novice,1,1,829.6224783861671
Sub40,none,low,trial0,0,5,26520,expert,1,1,836.6434782608694
Sub40,waypoint,low,trial1,0,5,26520,expert,1,1,804.8551532033426
Sub40,directergodic,low,trial2,0,5,26520,expert,1,1,739.2333333333332
Sub40,sharedergodic,low,trial3,0,5,26520,expert,1,1,784.4320652173913
Sub40,autoergodic,low,trial4,0,5,26520,expert,1,1,771.248
Sub40,none,high,trial5,0,5,26520,expert,1,1,731.8101265822785
Sub40,waypoint,high,trial6,0,5,26520,expert,1,1,762.3799472295516
Sub40,directergodic,high,trial7,0,5,26520,expert,1,1,767.9920212765958
Sub40,sharedergodic,high,trial8,0,5,26520,expert,1,1,783.8346883468836
Sub40,autoergodic,high,trial9,0,5,26520,expert,1,1,754.8616187989556
Sub41,none,low,trial0,0,9,2600,expert,1,1,838.0843023255812
Sub41,waypoint,low,trial1,0,9,2600,expert,1,1,738.831202046036
Sub41,directergodic,low,trial2,0,9,2600,expert,1,1,817.6685552407934
Sub41,sharedergodic,low,trial3,0,9,2600,expert,1,1,804.9245810055867
Sub41,autoergodic,low,trial4,0,9,2600,expert,1,1,844.4824561403508
Sub41,none,high,trial5,0,9,2600,expert,1,1,831.8703170028817
Sub41,waypoint,high,trial6,0,9,2600,expert,1,1,825.1880341880342
Sub41,directergodic,high,trial7,0,9,2600,expert,1,1,797.7817679558011
Sub41,sharedergodic,high,trial8,0,9,2600,expert,1,1,800.2583333333333
Sub41,autoergodic,high,trial9,0,9,2600,expert,1,1,854.4497041420117
Sub42,none,low,trial0,0,0,416,novice,1,1,717.9328358208955
Sub42,waypoint,low,trial1,0,0,416,novice,1,1,702.4574209245743
Sub42,directergodic,low,trial2,0,0,416,novice,1,1,726.4296482412061
Sub42,sharedergodic,low,trial3,0,0,416,novice,1,1,757.1233595800525
Sub42,autoergodic,low,trial4,0,0,416,novice,1,1,723.0925
Sub42,none,high,trial5,0,0,416,novice,1,1,737.9183673469388
Sub42,waypoint,high,trial6,0,0,416,novice,1,1,737.0383631713554
Sub42,directergodic,high,trial7,0,0,416,novice,1,1,724.6390977443608
Sub42,sharedergodic,high,trial8,0,0,416,novice,1,1,651.7020316027088
Sub42,autoergodic,high,trial9,0,0,416,novice,1,1,725.3793969849246
